model,category,ratings,color,display,processor,ram,android_version,camera,storage,storage_category,battery,battery_category,price_gbp,price_category,imgURL
SAMSUNG Galaxy F13,Phones,4.3,Sunrise Copper,other_types,not mentioned,4,12,50,64,Medium Storage,6000,High Battery,90.47,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70
SAMSUNG Galaxy F13,Phones,4.3,Waterfall Blue,other_types,not mentioned,4,12,50,128,High Storage,6000,High Battery,99.99,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/8/4/-original-imagfhu75eupxyft.jpeg?q=70
SAMSUNG Galaxy F13,Phones,4.3,Nightsky Green,other_types,not mentioned,4,12,50,128,High Storage,6000,High Battery,99.99,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70
SAMSUNG Galaxy F13,Phones,4.3,Sunrise Copper,other_types,not mentioned,4,12,50,128,High Storage,6000,High Battery,99.99,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70
SAMSUNG Galaxy F23 5G,Phones,4.3,Aqua Blue,other_types,Snapdragon750GProcessor,6,12,50,128,High Storage,5000,High Battery,147.61,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/h/k/-original-imagcg22czc3ggvw.jpeg?q=70
SAMSUNG Galaxy F23 5G,Phones,4.3,Forest Green,other_types,Snapdragon750GProcessor,6,12,50,128,High Storage,5000,High Battery,147.61,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/p/z/-original-imagcg22pf79cgau.jpeg?q=70
SAMSUNG Galaxy F04,Phones,4.2,Jade Purple,LCD,not mentioned,4,12,13,64,Medium Storage,5000,High Battery,66.66,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/p/9/-original-imaghgbyypzkzvud.jpeg?q=70
SAMSUNG Galaxy F04,Phones,4.2,Opal Green,LCD,not mentioned,4,12,13,64,Medium Storage,5000,High Battery,66.66,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/d/o/-original-imaghgbyhy6banxv.jpeg?q=70
SAMSUNG Galaxy F14 5G,Phones,4.2,GOAT Green,LCD,not mentioned,6,13,50,128,High Storage,6000,High Battery,133.24,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/i/k/galaxy-f14-5g-sm-e146bzggins-samsung-original-imagnzdkprfwj9hv.jpeg?q=70
SAMSUNG Galaxy F23 5G,Phones,4.3,Copper Blush,other_types,Snapdragon750GProcessor,6,12,50,128,High Storage,5000,High Battery,147.61,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/c/v/-original-imagehzbaw2wugme.jpeg?q=70
