date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-04-01,P001,iPhone 15,iPhone,37,899,33263,London
2024-04-01,P002,MacBook Air M2,Mac,39,1199,46761,London
2024-04-01,P003,iPad Pro 12.9,iPad,28,1099,30772,London
2024-04-01,P004,Apple Watch Series 9,Wearables,25,429,10725,London
2024-04-01,P005,AirPods Pro 2,Accessories,35,249,8715,London
2024-04-02,P001,iPhone 15,iPhone,33,899,29667,London
2024-04-02,P002,MacBook Air M2,Mac,23,1199,27577,London
2024-04-02,P003,iPad Pro 12.9,iPad,26,1099,28574,London
2024-04-02,P004,Apple Watch Series 9,Wearables,36,429,15444,London
2024-04-02,P005,AirPods Pro 2,Accessories,32,249,7968,London
2024-04-03,P001,iPhone 15,iPhone,9,899,8091,London
2024-04-03,P002,MacBook Air M2,Mac,7,1199,8393,London
2024-04-03,P003,iPad Pro 12.9,iPad,12,1099,13188,London
2024-04-03,P004,Apple Watch Series 9,Wearables,11,429,4719,London
2024-04-03,P005,AirPods Pro 2,Accessories,10,249,2490,London
2024-04-04,P001,iPhone 15,iPhone,15,899,13485,London
2024-04-04,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-04-04,P003,iPad Pro 12.9,iPad,8,1099,8792,London
2024-04-04,P004,Apple Watch Series 9,Wearables,15,429,6435,London
2024-04-04,P005,AirPods Pro 2,Accessories,8,249,1992,London
2024-04-05,P001,iPhone 15,iPhone,13,899,11687,London
2024-04-05,P002,MacBook Air M2,Mac,13,1199,15587,London
2024-04-05,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-04-05,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-04-05,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-04-06,P001,iPhone 15,iPhone,15,899,13485,London
2024-04-06,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-04-06,P003,iPad Pro 12.9,iPad,22,1099,24178,London
2024-04-06,P004,Apple Watch Series 9,Wearables,23,429,9867,London
2024-04-06,P005,AirPods Pro 2,Accessories,19,249,4731,London
2024-04-07,P001,iPhone 15,iPhone,20,899,17980,London
2024-04-07,P002,MacBook Air M2,Mac,18,1199,21582,London
2024-04-07,P003,iPad Pro 12.9,iPad,24,1099,26376,London
2024-04-07,P004,Apple Watch Series 9,Wearables,19,429,8151,London
2024-04-07,P005,AirPods Pro 2,Accessories,19,249,4731,London
2024-04-08,P001,iPhone 15,iPhone,14,899,12586,London
2024-04-08,P002,MacBook Air M2,Mac,7,1199,8393,London
2024-04-08,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-04-08,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-04-08,P005,AirPods Pro 2,Accessories,8,249,1992,London
2024-04-09,P001,iPhone 15,iPhone,15,899,13485,London
2024-04-09,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-04-09,P003,iPad Pro 12.9,iPad,13,1099,14287,London
2024-04-09,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-04-09,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-04-10,P001,iPhone 15,iPhone,12,899,10788,London
2024-04-10,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-04-10,P003,iPad Pro 12.9,iPad,7,1099,7693,London
2024-04-10,P004,Apple Watch Series 9,Wearables,8,429,3432,London
2024-04-10,P005,AirPods Pro 2,Accessories,9,249,2241,London
2024-04-11,P001,iPhone 15,iPhone,6,899,5394,London
2024-04-11,P002,MacBook Air M2,Mac,11,1199,13189,London
2024-04-11,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-04-11,P004,Apple Watch Series 9,Wearables,11,429,4719,London
2024-04-11,P005,AirPods Pro 2,Accessories,12,249,2988,London
2024-04-12,P001,iPhone 15,iPhone,8,899,7192,London
2024-04-12,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-04-12,P003,iPad Pro 12.9,iPad,12,1099,13188,London
2024-04-12,P004,Apple Watch Series 9,Wearables,6,429,2574,London
