date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2025-01-01,P001,iPhone 15,iPhone,11,899,9889,London
2025-01-01,P002,MacBook Air M2,Mac,8,1199,9592,London
2025-01-01,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2025-01-01,P004,Apple Watch Series 9,Wearables,11,429,4719,London
2025-01-01,P005,AirPods Pro 2,Accessories,15,249,3735,London
2025-01-01,P006,iPhone 16,iPhone,16,999,15984,London
2025-01-01,P007,iPhone 16 Pro,iPhone,8,1199,9592,London
2025-01-01,P008,iPhone 16 Pro Max,iPhone,9,1399,12591,London
2025-01-01,P009,HomePod Mini 2,Smart Home,16,149,2384,London
2025-01-02,P001,iPhone 15,iPhone,8,899,7192,London
2025-01-02,P002,MacBook Air M2,Mac,12,1199,14388,London
2025-01-02,P003,iPad Pro 12.9,iPad,16,1099,17584,London
2025-01-02,P004,Apple Watch Series 9,Wearables,15,429,6435,London
2025-01-02,P005,AirPods Pro 2,Accessories,9,249,2241,London
2025-01-02,P006,iPhone 16,iPhone,9,999,8991,London
2025-01-02,P007,iPhone 16 Pro,iPhone,14,1199,16786,London
2025-01-02,P008,iPhone 16 Pro Max,iPhone,10,1399,13990,London
2025-01-02,P009,HomePod Mini 2,Smart Home,13,149,1937,London
2025-01-03,P001,iPhone 15,iPhone,16,899,14384,London
2025-01-03,P002,MacBook Air M2,Mac,12,1199,14388,London
2025-01-03,P003,iPad Pro 12.9,iPad,8,1099,8792,London
2025-01-03,P004,Apple Watch Series 9,Wearables,10,429,4290,London
2025-01-03,P005,AirPods Pro 2,Accessories,14,249,3486,London
2025-01-03,P006,iPhone 16,iPhone,12,999,11988,London
2025-01-03,P007,iPhone 16 Pro,iPhone,15,1199,17985,London
2025-01-03,P008,iPhone 16 Pro Max,iPhone,10,1399,13990,London
2025-01-03,P009,HomePod Mini 2,Smart Home,14,149,2086,London
2025-01-04,P001,iPhone 15,iPhone,13,899,11687,London
2025-01-04,P002,MacBook Air M2,Mac,8,1199,9592,London
2025-01-04,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2025-01-04,P004,Apple Watch Series 9,Wearables,16,429,6864,London
2025-01-04,P005,AirPods Pro 2,Accessories,8,249,1992,London
2025-01-04,P006,iPhone 16,iPhone,14,999,13986,London
2025-01-04,P007,iPhone 16 Pro,iPhone,13,1199,15587,London
2025-01-04,P008,iPhone 16 Pro Max,iPhone,16,1399,22384,London
2025-01-04,P009,HomePod Mini 2,Smart Home,15,149,2235,London
2025-01-05,P001,iPhone 15,iPhone,10,899,8990,London
2025-01-05,P002,MacBook Air M2,Mac,14,1199,16786,London
2025-01-05,P003,iPad Pro 12.9,iPad,12,1099,13188,London
2025-01-05,P004,Apple Watch Series 9,Wearables,9,429,3861,London
2025-01-05,P005,AirPods Pro 2,Accessories,15,249,3735,London
2025-01-05,P006,iPhone 16,iPhone,8,999,7992,London
2025-01-05,P007,iPhone 16 Pro,iPhone,8,1199,9592,London
2025-01-05,P008,iPhone 16 Pro Max,iPhone,8,1399,11192,London
2025-01-05,P009,HomePod Mini 2,Smart Home,15,149,2235,London
2025-01-06,P001,iPhone 15,iPhone,8,899,7192,London
2025-01-06,P002,MacBook Air M2,Mac,11,1199,13189,London
2025-01-06,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2025-01-06,P004,Apple Watch Series 9,Wearables,15,429,6435,London
2025-01-06,P005,AirPods Pro 2,Accessories,11,249,2739,London
2025-01-06,P006,iPhone 16,iPhone,15,999,14985,London
2025-01-06,P007,iPhone 16 Pro,iPhone,11,1199,13189,London
2025-01-06,P008,iPhone 16 Pro Max,iPhone,8,1399,11192,London
2025-01-06,P009,HomePod Mini 2,Smart Home,9,149,1341,London
2025-01-07,P001,iPhone 15,iPhone,9,899,8091,London
2025-01-07,P002,MacBook Air M2,Mac,9,1199,10791,London
2025-01-07,P003,iPad Pro 12.9,iPad,16,1099,17584,London
2025-01-07,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2025-01-07,P005,AirPods Pro 2,Accessories,8,249,1992,London
2025-01-07,P006,iPhone 16,iPhone,13,999,12987,London
2025-01-07,P007,iPhone 16 Pro,iPhone,10,1199,11990,London
