date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-07-01,P001,iPhone 15,iPhone,2,899,1798,London
2024-07-01,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-07-01,P003,iPad Pro 12.9,iPad,6,1099,6594,London
2024-07-01,P004,Apple Watch Series 9,Wearables,2,429,858,London
2024-07-01,P005,AirPods Pro 2,Accessories,4,249,996,London
2024-07-02,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-02,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-07-02,P003,iPad Pro 12.9,iPad,2,1099,2198,London
2024-07-02,P004,Apple Watch Series 9,Wearables,3,429,1287,London
2024-07-02,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-07-03,P001,iPhone 15,iPhone,2,899,1798,London
2024-07-03,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-07-03,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-03,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-07-03,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-07-04,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-04,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-07-04,P003,iPad Pro 12.9,iPad,3,1099,3297,London
2024-07-04,P004,Apple Watch Series 9,Wearables,2,429,858,London
2024-07-04,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-07-05,P001,iPhone 15,iPhone,2,899,1798,London
2024-07-05,P002,MacBook Air M2,Mac,4,1199,4796,London
2024-07-05,P003,iPad Pro 12.9,iPad,2,1099,2198,London
2024-07-05,P004,Apple Watch Series 9,Wearables,3,429,1287,London
2024-07-05,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-07-06,P001,iPhone 15,iPhone,5,899,4495,London
2024-07-06,P002,MacBook Air M2,Mac,4,1199,4796,London
2024-07-06,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-07-06,P004,Apple Watch Series 9,Wearables,7,429,3003,London
2024-07-06,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-07-07,P001,iPhone 15,iPhone,8,899,7192,London
2024-07-07,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-07-07,P003,iPad Pro 12.9,iPad,7,1099,7693,London
2024-07-07,P004,Apple Watch Series 9,Wearables,9,429,3861,London
2024-07-07,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-07-08,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-08,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-07-08,P003,iPad Pro 12.9,iPad,3,1099,3297,London
2024-07-08,P004,Apple Watch Series 9,Wearables,4,429,1716,London
2024-07-08,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-07-09,P001,iPhone 15,iPhone,3,899,2697,London
2024-07-09,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-07-09,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-09,P004,Apple Watch Series 9,Wearables,6,429,2574,London
2024-07-09,P005,AirPods Pro 2,Accessories,4,249,996,London
2024-07-10,P001,iPhone 15,iPhone,2,899,1798,London
2024-07-10,P002,MacBook Air M2,Mac,2,1199,2398,London
2024-07-10,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-10,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-07-10,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-07-11,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-11,P002,MacBook Air M2,Mac,4,1199,4796,London
2024-07-11,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-11,P004,Apple Watch Series 9,Wearables,3,429,1287,London
2024-07-11,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-07-12,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-12,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-07-12,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-12,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-07-12,P005,AirPods Pro 2,Accessories,4,249,996,London
2024-07-13,P001,iPhone 15,iPhone,7,899,6293,London
2024-07-13,P002,MacBook Air M2,Mac,9,1199,10791,London
2024-07-13,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-07-13,P004,Apple Watch Series 9,Wearables,8,429,3432,London
2024-07-13,P005,AirPods Pro 2,Accessories,9,249,2241,London
2024-07-14,P001,iPhone 15,iPhone,4,899,3596,London
2024-07-14,P002,MacBook Air M2,Mac,10,1199,11990,London
