date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-08-01,P001,iPhone 15,iPhone,12,899,10788,London
2024-08-01,P002,MacBook Air M2,Mac,8,1199,9592,London
2024-08-01,P003,iPad Pro 12.9,iPad,7,1099,7693,London
2024-08-01,P004,Apple Watch Series 9,Wearables,6,429,2574,London
2024-08-01,P005,AirPods Pro 2,Accessories,12,249,2988,London
2024-08-02,P001,iPhone 15,iPhone,12,899,10788,London
2024-08-02,P002,MacBook Air M2,Mac,8,1199,9592,London
2024-08-02,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-08-02,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-08-02,P005,AirPods Pro 2,Accessories,10,249,2490,London
2024-08-03,P001,iPhone 15,iPhone,9,899,8091,London
2024-08-03,P002,MacBook Air M2,Mac,13,1199,15587,London
2024-08-03,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-08-03,P004,Apple Watch Series 9,Wearables,14,429,6006,London
2024-08-03,P005,AirPods Pro 2,Accessories,17,249,4233,London
2024-08-04,P001,iPhone 15,iPhone,13,899,11687,London
2024-08-04,P002,MacBook Air M2,Mac,13,1199,15587,London
2024-08-04,P003,iPad Pro 12.9,iPad,16,1099,17584,London
2024-08-04,P004,Apple Watch Series 9,Wearables,18,429,7722,London
2024-08-04,P005,AirPods Pro 2,Accessories,18,249,4482,London
2024-08-05,P001,iPhone 15,iPhone,6,899,5394,London
2024-08-05,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-08-05,P003,iPad Pro 12.9,iPad,9,1099,9891,London
2024-08-05,P004,Apple Watch Series 9,Wearables,6,429,2574,London
2024-08-05,P005,AirPods Pro 2,Accessories,12,249,2988,London
2024-08-06,P001,iPhone 15,iPhone,9,899,8091,London
2024-08-06,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-08-06,P003,iPad Pro 12.9,iPad,8,1099,8792,London
2024-08-06,P004,Apple Watch Series 9,Wearables,7,429,3003,London
2024-08-06,P005,AirPods Pro 2,Accessories,7,249,1743,London
2024-08-07,P001,iPhone 15,iPhone,7,899,6293,London
2024-08-07,P002,MacBook Air M2,Mac,8,1199,9592,London
2024-08-07,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-08-07,P004,Apple Watch Series 9,Wearables,6,429,2574,London
2024-08-07,P005,AirPods Pro 2,Accessories,7,249,1743,London
2024-08-08,P001,iPhone 15,iPhone,12,899,10788,London
2024-08-08,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-08-08,P003,iPad Pro 12.9,iPad,9,1099,9891,London
2024-08-08,P004,Apple Watch Series 9,Wearables,11,429,4719,London
2024-08-08,P005,AirPods Pro 2,Accessories,12,249,2988,London
2024-08-09,P001,iPhone 15,iPhone,12,899,10788,London
2024-08-09,P002,MacBook Air M2,Mac,8,1199,9592,London
2024-08-09,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-08-09,P004,Apple Watch Series 9,Wearables,7,429,3003,London
2024-08-09,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-08-10,P001,iPhone 15,iPhone,9,899,8091,London
2024-08-10,P002,MacBook Air M2,Mac,9,1199,10791,London
2024-08-10,P003,iPad Pro 12.9,iPad,13,1099,14287,London
2024-08-10,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-08-10,P005,AirPods Pro 2,Accessories,10,249,2490,London
2024-08-11,P001,iPhone 15,iPhone,8,899,7192,London
2024-08-11,P002,MacBook Air M2,Mac,14,1199,16786,London
2024-08-11,P003,iPad Pro 12.9,iPad,9,1099,9891,London
2024-08-11,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-08-11,P005,AirPods Pro 2,Accessories,18,249,4482,London
2024-08-12,P001,iPhone 15,iPhone,8,899,7192,London
2024-08-12,P002,MacBook Air M2,Mac,6,1199,7194,London
2024-08-12,P003,iPad Pro 12.9,iPad,6,1099,6594,London
2024-08-12,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-08-12,P005,AirPods Pro 2,Accessories,7,249,1743,London
2024-08-13,P001,iPhone 15,iPhone,8,899,7192,London
2024-08-13,P002,MacBook Air M2,Mac,12,1199,14388,London
2024-08-13,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-08-13,P004,Apple Watch Series 9,Wearables,10,429,4290,London
2024-08-13,P005,AirPods Pro 2,Accessories,8,249,1992,London
2024-08-14,P001,iPhone 15,iPhone,10,899,8990,London
