date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-09-01,P001,iPhone 15,iPhone,10,899,8990,London
2024-09-01,P002,MacBook Air M2,Mac,15,1199,17985,London
2024-09-01,P003,iPad Pro 12.9,iPad,15,1099,16485,London
2024-09-01,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-01,P005,AirPods Pro 2,Accessories,15,249,3735,London
2024-09-02,P001,iPhone 15,iPhone,10,899,8990,London
2024-09-02,P002,MacBook Air M2,Mac,9,1199,10791,London
2024-09-02,P003,iPad Pro 12.9,iPad,7,1099,7693,London
2024-09-02,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-02,P005,AirPods Pro 2,Accessories,11,249,2739,London
2024-09-03,P001,iPhone 15,iPhone,7,899,6293,London
2024-09-03,P002,MacBook Air M2,Mac,11,1199,13189,London
2024-09-03,P003,iPad Pro 12.9,iPad,9,1099,9891,London
2024-09-03,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-03,P005,AirPods Pro 2,Accessories,8,249,1992,London
2024-09-04,P001,iPhone 15,iPhone,12,899,10788,London
2024-09-04,P002,MacBook Air M2,Mac,7,1199,8393,London
2024-09-04,P003,iPad Pro 12.9,iPad,5,1099,5495,London
2024-09-04,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-04,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-09-05,P001,iPhone 15,iPhone,9,899,8091,London
2024-09-05,P002,MacBook Air M2,Mac,12,1199,14388,London
2024-09-05,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-09-05,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-05,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-09-06,P001,iPhone 15,iPhone,10,899,8990,London
2024-09-06,P002,MacBook Air M2,Mac,7,1199,8393,London
2024-09-06,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-09-06,P004,Apple Watch Series 9,Wearables,7,429,3003,London
2024-09-06,P005,AirPods Pro 2,Accessories,7,249,1743,London
2024-09-07,P001,iPhone 15,iPhone,14,899,12586,London
2024-09-07,P002,MacBook Air M2,Mac,14,1199,16786,London
2024-09-07,P003,iPad Pro 12.9,iPad,12,1099,13188,London
2024-09-07,P004,Apple Watch Series 9,Wearables,15,429,6435,London
2024-09-07,P005,AirPods Pro 2,Accessories,14,249,3486,London
2024-09-08,P001,iPhone 15,iPhone,13,899,11687,London
2024-09-08,P002,MacBook Air M2,Mac,9,1199,10791,London
2024-09-08,P003,iPad Pro 12.9,iPad,16,1099,17584,London
2024-09-08,P004,Apple Watch Series 9,Wearables,10,429,4290,London
2024-09-08,P005,AirPods Pro 2,Accessories,14,249,3486,London
2024-09-09,P001,iPhone 15,iPhone,8,899,7192,London
2024-09-09,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-09-09,P003,iPad Pro 12.9,iPad,11,1099,12089,London
2024-09-09,P004,Apple Watch Series 9,Wearables,12,429,5148,London
2024-09-09,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-09-10,P001,iPhone 15,iPhone,11,899,9889,London
2024-09-10,P002,MacBook Air M2,Mac,5,1199,5995,London
2024-09-10,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-09-10,P004,Apple Watch Series 9,Wearables,6,429,2574,London
2024-09-10,P005,AirPods Pro 2,Accessories,5,249,1245,London
2024-09-11,P001,iPhone 15,iPhone,12,899,10788,London
2024-09-11,P002,MacBook Air M2,Mac,12,1199,14388,London
2024-09-11,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-09-11,P004,Apple Watch Series 9,Wearables,5,429,2145,London
2024-09-11,P005,AirPods Pro 2,Accessories,12,249,2988,London
2024-09-12,P001,iPhone 15,iPhone,25,899,22475,London
2024-09-12,P002,MacBook Air M2,Mac,19,1199,22781,London
2024-09-12,P003,iPad Pro 12.9,iPad,14,1099,15386,London
2024-09-12,P004,Apple Watch Series 9,Wearables,20,429,8580,London
2024-09-12,P005,AirPods Pro 2,Accessories,16,249,3984,London
2024-09-12,P006,iPhone 16,iPhone,29,999,28971,London
2024-09-12,P007,iPhone 16 Pro,iPhone,35,1199,41965,London
2024-09-12,P008,iPhone 16 Pro Max,iPhone,26,1399,36374,London
2024-09-13,P001,iPhone 15,iPhone,16,899,14384,London
2024-09-13,P002,MacBook Air M2,Mac,19,1199,22781,London
2024-09-13,P003,iPad Pro 12.9,iPad,15,1099,16485,London
2024-09-13,P004,Apple Watch Series 9,Wearables,14,429,6006,London
2024-09-13,P005,AirPods Pro 2,Accessories,19,249,4731,London
2024-09-13,P006,iPhone 16,iPhone,37,999,36963,London
2024-09-13,P007,iPhone 16 Pro,iPhone,36,1199,43164,London
2024-09-13,P008,iPhone 16 Pro Max,iPhone,22,1399,30778,London
2024-09-14,P001,iPhone 15,iPhone,22,899,19778,London
