date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-10-01,P001,iPhone 15,iPhone,11,899,9889,London
2024-10-01,P002,MacBook Air M2,Mac,10,1199,11990,London
2024-10-01,P003,iPad Pro 12.9,iPad,10,1099,10990,London
2024-10-01,P004,Apple Watch Series 9,Wearables,10,429,4290,London
2024-10-01,P005,AirPods Pro 2,Accessories,14,249,3486,London
2024-10-01,P006,iPhone 16,iPhone,15,999,14985,London
2024-10-01,P007,iPhone 16 Pro,iPhone,25,1199,29975,London
2024-10-01,P008,iPhone 16 Pro Max,iPhone,22,1399,30778,London
2024-10-02,P001,iPhone 15,iPhone,10,899,8990,London
2024-10-02,P002,MacBook Air M2,Mac,9,1199,10791,London
2024-10-02,P003,iPad Pro 12.9,iPad,9,1099,9891,London
2024-10-02,P004,Apple Watch Series 9,Wearables,7,429,3003,London
2024-10-02,P005,AirPods Pro 2,Accessories,11,249,2739,London
2024-10-02,P006,iPhone 16,iPhone,22,999,21978,London
2024-10-02,P007,iPhone 16 Pro,iPhone,24,1199,28776,London
2024-10-02,P008,iPhone 16 Pro Max,iPhone,22,1399,30778,London
2024-10-03,P001,iPhone 15,iPhone,6,899,5394,London
2024-10-03,P002,MacBook Air M2,Mac,8,1199,9592,London
2024-10-03,P003,iPad Pro 12.9,iPad,8,1099,8792,London
2024-10-03,P004,Apple Watch Series 9,Wearables,11,429,4719,London
2024-10-03,P005,AirPods Pro 2,Accessories,6,249,1494,London
2024-10-03,P006,iPhone 16,iPhone,20,999,19980,London
2024-10-03,P007,iPhone 16 Pro,iPhone,12,1199,14388,London
2024-10-03,P008,iPhone 16 Pro Max,iPhone,11,1399,15389,London
2024-10-04,P001,iPhone 15,iPhone,12,899,10788,London
2024-10-04,P002,MacBook Air M2,Mac,14,1199,16786,London
2024-10-04,P003,iPad Pro 12.9,iPad,12,1099,13188,London
2024-10-04,P004,Apple Watch Series 9,Wearables,10,429,4290,London
2024-10-04,P005,AirPods Pro 2,Accessories,9,249,2241,London
2024-10-04,P006,iPhone 16,iPhone,19,999,18981,London
2024-10-04,P007,iPhone 16 Pro,iPhone,20,1199,23980,London
2024-10-04,P008,iPhone 16 Pro Max,iPhone,21,1399,29379,London
2024-10-05,P001,iPhone 15,iPhone,17,899,15283,London
2024-10-05,P002,MacBook Air M2,Mac,18,1199,21582,London
