date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-11-01,P001,iPhone 15,iPhone,20,899,17980,London
2024-11-01,P002,MacBook Air M2,Mac,12,1199,14388,London
2024-11-01,P003,iPad Pro 12.9,iPad,22,1099,24178,London
2024-11-01,P004,Apple Watch Series 9,Wearables,15,429,6435,London
2024-11-01,P005,AirPods Pro 2,Accessories,16,249,3984,London
2024-11-01,P006,iPhone 16,iPhone,17,999,16983,London
2024-11-01,P007,iPhone 16 Pro,iPhone,20,1199,23980,London
2024-11-01,P008,iPhone 16 Pro Max,iPhone,24,1399,33576,London
2024-11-02,P001,iPhone 15,iPhone,39,899,35061,London
2024-11-02,P002,MacBook Air M2,Mac,21,1199,25179,London
2024-11-02,P003,iPad Pro 12.9,iPad,36,1099,39564,London
2024-11-02,P004,Apple Watch Series 9,Wearables,21,429,9009,London
2024-11-02,P005,AirPods Pro 2,Accessories,37,249,9213,London
2024-11-02,P006,iPhone 16,iPhone,35,999,34965,London
2024-11-02,P007,iPhone 16 Pro,iPhone,40,1199,47960,London
2024-11-02,P008,iPhone 16 Pro Max,iPhone,22,1399,30778,London
2024-11-03,P001,iPhone 15,iPhone,33,899,29667,London
2024-11-03,P002,MacBook Air M2,Mac,37,1199,44363,London
2024-11-03,P003,iPad Pro 12.9,iPad,24,1099,26376,London
2024-11-03,P004,Apple Watch Series 9,Wearables,27,429,11583,London
2024-11-03,P005,AirPods Pro 2,Accessories,39,249,9711,London
2024-11-03,P006,iPhone 16,iPhone,40,999,39960,London
2024-11-03,P007,iPhone 16 Pro,iPhone,23,1199,27577,London
2024-11-03,P008,iPhone 16 Pro Max,iPhone,30,1399,41970,London
2024-11-04,P001,iPhone 15,iPhone,16,899,14384,London
2024-11-04,P002,MacBook Air M2,Mac,12,1199,14388,London
2024-11-04,P003,iPad Pro 12.9,iPad,15,1099,16485,London
2024-11-04,P004,Apple Watch Series 9,Wearables,22,429,9438,London
2024-11-04,P005,AirPods Pro 2,Accessories,22,249,5478,London
2024-11-04,P006,iPhone 16,iPhone,17,999,16983,London
2024-11-04,P007,iPhone 16 Pro,iPhone,20,1199,23980,London
2024-11-04,P008,iPhone 16 Pro Max,iPhone,23,1399,32177,London
