date,product_id,product_name,category,units_sold,unit_price,total_sales,store_location
2024-12-01,P001,iPhone 15,iPhone,37,899,33263,London
2024-12-01,P002,MacBook Air M2,Mac,40,1199,47960,London
2024-12-01,P003,iPad Pro 12.9,iPad,45,1099,49455,London
2024-12-01,P004,Apple Watch Series 9,Wearables,49,429,21021,London
2024-12-01,P005,AirPods Pro 2,Accessories,44,249,10956,London
2024-12-01,P006,iPhone 16,iPhone,31,999,30969,London
2024-12-01,P007,iPhone 16 Pro,iPhone,31,1199,37169,London
2024-12-01,P008,iPhone 16 Pro Max,iPhone,40,1399,55960,London
2024-12-02,P001,iPhone 15,iPhone,15,899,13485,London
2024-12-02,P002,MacBook Air M2,Mac,22,1199,26378,London
2024-12-02,P003,iPad Pro 12.9,iPad,19,1099,20881,London
2024-12-02,P004,Apple Watch Series 9,Wearables,33,429,14157,London
2024-12-02,P005,AirPods Pro 2,Accessories,19,249,4731,London
2024-12-02,P006,iPhone 16,iPhone,24,999,23976,London
2024-12-02,P007,iPhone 16 Pro,iPhone,20,1199,23980,London
2024-12-02,P008,iPhone 16 Pro Max,iPhone,32,1399,44768,London
2024-12-03,P001,iPhone 15,iPhone,16,899,14384,London
2024-12-03,P002,MacBook Air M2,Mac,32,1199,38368,London
2024-12-03,P003,iPad Pro 12.9,iPad,25,1099,27475,London
2024-12-03,P004,Apple Watch Series 9,Wearables,32,429,13728,London
2024-12-03,P005,AirPods Pro 2,Accessories,30,249,7470,London
2024-12-03,P006,iPhone 16,iPhone,31,999,30969,London
2024-12-03,P007,iPhone 16 Pro,iPhone,28,1199,33572,London
2024-12-03,P008,iPhone 16 Pro Max,iPhone,29,1399,40571,London
2024-12-04,P001,iPhone 15,iPhone,23,899,20677,London
2024-12-04,P002,MacBook Air M2,Mac,15,1199,17985,London
2024-12-04,P003,iPad Pro 12.9,iPad,28,1099,30772,London
2024-12-04,P004,Apple Watch Series 9,Wearables,28,429,12012,London
2024-12-04,P005,AirPods Pro 2,Accessories,20,249,4980,London
2024-12-04,P006,iPhone 16,iPhone,16,999,15984,London
2024-12-04,P007,iPhone 16 Pro,iPhone,31,1199,37169,London
2024-12-04,P008,iPhone 16 Pro Max,iPhone,31,1399,43369,London
2024-12-05,P001,iPhone 15,iPhone,32,899,28768,London
2024-12-05,P002,MacBook Air M2,Mac,33,1199,39567,London
2024-12-05,P003,iPad Pro 12.9,iPad,35,1099,38465,London
2024-12-05,P004,Apple Watch Series 9,Wearables,24,429,10296,London
2024-12-05,P005,AirPods Pro 2,Accessories,26,249,6474,London
2024-12-05,P006,iPhone 16,iPhone,24,999,23976,London
2024-12-05,P007,iPhone 16 Pro,iPhone,23,1199,27577,London
2024-12-05,P008,iPhone 16 Pro Max,iPhone,30,1399,41970,London
2024-12-05,P009,HomePod Mini 2,Smart Home,16,149,2384,London
2024-12-06,P001,iPhone 15,iPhone,30,899,26970,London
2024-12-06,P002,MacBook Air M2,Mac,22,1199,26378,London
2024-12-06,P003,iPad Pro 12.9,iPad,28,1099,30772,London
2024-12-06,P004,Apple Watch Series 9,Wearables,17,429,7293,London
2024-12-06,P005,AirPods Pro 2,Accessories,22,249,5478,London
2024-12-06,P006,iPhone 16,iPhone,15,999,14985,London
2024-12-06,P007,iPhone 16 Pro,iPhone,31,1199,37169,London
